名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
北京百里山水画廊-医务室,医疗保健服务,诊所,诊所,东店村153号北京百里山水画廊内,北京市,北京市,延庆区,116.2436444,40.65954332
北甸子社区卫生服务部,医疗保健服务,综合医院,卫生院,京密路与北甸子主街交叉口西北100米,北京市,北京市,密云区,117.1730311,40.65631309
王亚荣,医疗保健服务,诊所,诊所,司马台村沙岭79-2,北京市,北京市,密云区,117.2361403,40.65693481
张秀芹,医疗保健服务,诊所,诊所,司马台村蔡家窝铺6-1,北京市,北京市,密云区,117.2440904,40.65295928
头道沟村医疗卫生室,医疗保健服务,诊所,诊所,260乡道西50米,北京市,北京市,密云区,117.3455894,40.65938945
上甸子社区卫生站,医疗保健服务,诊所,诊所,高上公路与黄下路交叉口西南150米,北京市,北京市,密云区,117.1103885,40.64651331
宋友华卫生室,医疗保健服务,诊所,诊所,汤河北大街73号,北京市,北京市,密云区,117.2036859,40.64751725
古北医务室,医疗保健服务,诊所,诊所,古北口镇司马台村古北水镇景区民国街区内,北京市,北京市,密云区,117.2613587,40.64416965
密云区新城子镇卫生院,医疗保健服务,综合医院,卫生院,新城子镇新城子村,北京市,北京市,密云区,117.3303608,40.64293086
密云区新城子镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,新城子镇新城子村,北京市,北京市,密云区,117.3303687,40.64292585
第四村卫生室,医疗保健服务,诊所,诊所,曹家路南50米,北京市,北京市,密云区,117.4186733,40.64787178
国珍健康生活馆(曹家路),医疗保健服务,医疗保健服务场所,医疗保健服务场所,曹家路283号附近,北京市,北京市,密云区,117.4198005,40.64853152
曹家路村卫生室,医疗保健服务,诊所,诊所,曹家路176号,北京市,北京市,密云区,117.4186021,40.64811055
雾灵旅游诊所,医疗保健服务,诊所,诊所,251乡道(雾灵山森林公园东北),北京市,北京市,密云区,117.4439026,40.64646581
四合堂社区卫生服务站,医疗保健服务,综合医院,卫生院,琉辛路1,北京市,北京市,密云区,116.7394782,40.63980902
北京辰佳口腔,医疗保健服务,诊所,诊所,新城子村村委会西10米,北京市,北京市,密云区,117.323868,40.63770666
新城子俊义卫生室,医疗保健服务,诊所,诊所,松曹路西50米,北京市,北京市,密云区,117.3253645,40.63934472
新城子扶生药店,医疗保健服务,医药保健销售店,药房,松曹路(新城子俊义卫生室南),北京市,北京市,密云区,117.3254603,40.6387869
乐缘堂,医疗保健服务,医药保健销售店,药房,琉璃庙镇琉璃庙村60号,北京市,北京市,怀柔区,116.6472853,40.6282059
琉璃庙社区卫生服务中心,医疗保健服务,综合医院,卫生院,琉璃庙镇琉璃庙村17号,北京市,北京市,怀柔区,116.6444039,40.62850081
北京市怀柔区琉璃庙镇卫生院,医疗保健服务,综合医院,卫生院,延琉路东150米,北京市,北京市,怀柔区,116.6444119,40.62853677
琉璃庙120急救站,医疗保健服务,急救中心,急救中心,琉璃庙镇琉璃庙村17号,北京市,北京市,怀柔区,116.6444039,40.62850081
琉璃庙镇残疾人康复服务指导站,医疗保健服务,医疗保健服务场所,医疗保健服务场所,琉璃庙镇琉璃庙村17号,北京市,北京市,怀柔区,116.6444039,40.62850081
冯家峪镇卫生院,医疗保健服务,综合医院,卫生院,冯家峪村99号,北京市,北京市,密云区,116.8748926,40.62441191
北京市密云区冯家峪镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,冯家峪村99号,北京市,北京市,密云区,116.8748936,40.6244159
冯家峪扶生药店,医疗保健服务,医药保健销售店,药房,008县道与056乡道交叉口东南50米,北京市,北京市,密云区,116.8734253,40.62761562
半城子村药品销售点,医疗保健服务,医药保健销售店,药房,后半路南50米,北京市,北京市,密云区,117.0331104,40.62372384
张家坟村卫生室,医疗保健服务,诊所,诊所,琉辛路北150米,北京市,北京市,密云区,116.7837943,40.61338899
冯家峪镇辅助器服务站,医疗保健服务,医疗保健服务场所,医疗保健服务场所,冯家峪,北京市,北京市,密云区,116.8701154,40.61746683
石洞子村卫生室,医疗保健服务,诊所,诊所,057乡道东50米,北京市,北京市,密云区,116.8960733,40.61353953
慧源堂大药房,医疗保健服务,医药保健销售店,药房,014县道与554县道交叉口东50米,北京市,北京市,密云区,117.2584196,40.6203337
西庄子村社区卫生服务站,医疗保健服务,综合医院,卫生院,琉辛路西150米,北京市,北京市,密云区,116.8589232,40.60330224
密云区高岭镇卫生院,医疗保健服务,综合医院,卫生院,高岭镇高岭村,北京市,北京市,密云区,117.1030097,40.60323295
北京市密云区高岭镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,高岭村政府路9号,北京市,北京市,密云区,117.1030927,40.60295716
怀柔区琉璃庙镇龙泉峪村卫生室,医疗保健服务,诊所,诊所,龙泉峪路东50米,北京市,北京市,怀柔区,116.654551,40.5916529
北京辰佳口腔,医疗保健服务,专科医院,口腔医院,府前路与琉辛路交叉口东北100米,北京市,北京市,密云区,117.1033732,40.5994584
扶生药店,医疗保健服务,医药保健销售店,药房,琉辛路北100米,北京市,北京市,密云区,117.1058234,40.60029021
放马峪村第二村卫生室,医疗保健服务,诊所,诊所,放马峪村,北京市,北京市,密云区,117.127924,40.59553275
北京怀柔康怡残疾人职业康复劳动站,医疗保健服务,医疗保健服务场所,医疗保健服务场所,京加路东50米,北京市,北京市,怀柔区,116.6730041,40.5844568
兵马营村增田卫生室,医疗保健服务,诊所,诊所,后半路东50米,北京市,北京市,密云区,117.0034229,40.5841822
怀柔区琉璃庙镇后山铺村卫生室,医疗保健服务,诊所,诊所,京加路西50米,北京市,北京市,怀柔区,116.670348,40.57446963
密云区不老屯镇白土沟村卫生室,医疗保健服务,诊所,诊所,不白路与105乡道交叉口东北150米,北京市,北京市,密云区,116.9662519,40.57388773
百草普安堂大药房富洋利佳,医疗保健服务,医药保健销售店,药房,琉辛路,北京市,北京市,密云区,117.0399265,40.58007734
桑园村社区卫生服务站,医疗保健服务,诊所,诊所,松曹路西50米,北京市,北京市,密云区,117.1463689,40.57741298
令公村卫生室,医疗保健服务,诊所,诊所,令石路北50米密云区太师屯镇令公村党支部附近,北京市,北京市,密云区,117.2254646,40.57772004
北京玉香金象大药房,医疗保健服务,医药保健销售店,药房,东孟路与昌赤路交叉口东50米,北京市,北京市,延庆区,116.1206298,40.5705783
延庆区香营乡社区卫生服务中心,医疗保健服务,综合医院,卫生院,香营乡香营村,北京市,北京市,延庆区,116.141009,40.56945734
明和堂药店(香营乡人民代表大会东),医疗保健服务,医药保健销售店,药房,镇颍泽州小区25-2号,北京市,北京市,延庆区,116.1407264,40.5690651
金象大药房(香刘公路),医疗保健服务,医药保健销售店,药房,零零七县道附近,北京市,北京市,延庆区,116.1404436,40.56950439
明和堂药店第二十一分店,医疗保健服务,医疗保健服务场所,医疗保健服务场所,刘斌堡乡刘斌堡村南区59号,北京市,北京市,延庆区,116.2152252,40.56481188
延庆县刘斌堡乡社区卫生服务中心(延庆县刘斌堡乡卫生院),医疗保健服务,综合医院,卫生院,刘斌堡乡刘斌堡村,北京市,北京市,延庆区,116.2231917,40.56745036
康健大药房,医疗保健服务,医药保健销售店,药房,不老屯镇燕落村,北京市,北京市,密云区,116.9546859,40.56245923
燕落村卫生室,医疗保健服务,诊所,诊所,琉辛路不老屯镇燕落村党支部北200米,北京市,北京市,密云区,116.9557585,40.56426559
礼广卫生室,医疗保健服务,诊所,诊所,琉辛路与105乡道交叉口东100米,北京市,北京市,密云区,116.9612382,40.56217278
不老屯镇社区卫生中心,医疗保健服务,综合医院,卫生院,不老屯镇不老屯村,北京市,北京市,密云区,116.9699452,40.56621179
不老屯扶生药店(中共不老屯镇委员会东),医疗保健服务,医药保健销售店,药房,琉辛路(中共不老屯镇委员会东),北京市,北京市,密云区,116.9723597,40.56634884
北京辰佳口腔诊所,医疗保健服务,诊所,诊所,琉辛路北50米,北京市,北京市,密云区,116.9738531,40.56706014
泽兰卫生室,医疗保健服务,诊所,诊所,不老屯镇不老屯村新生区406号,北京市,北京市,密云区,116.9769341,40.56934188
慧源堂大药店,医疗保健服务,医药保健销售店,药房,琉辛路北50米,北京市,北京市,密云区,116.9767085,40.56647715
松树掌村卫生室,医疗保健服务,诊所,诊所,,北京市,北京市,密云区,117.1653782,40.56220724
明和堂(第五诊所),医疗保健服务,诊所,诊所,旧县镇旧县村北绿舟馨源商业城B幢1层B142,北京市,北京市,延庆区,116.0857177,40.55167404
八亩地社区卫生站,医疗保健服务,诊所,诊所,延琉路西50米,北京市,北京市,怀柔区,116.5325978,40.55166848
慧源堂大药房,医疗保健服务,医药保健销售店,药房,京密路与密古路交叉口南50米,北京市,北京市,密云区,117.1437938,40.56020227
龙庆峡风景区-医务室,医疗保健服务,诊所,诊所,龙庆峡风景区内,北京市,北京市,延庆区,116.0055565,40.54492732
古城卫生所(古城大街),医疗保健服务,诊所,诊所,古城大街16号,北京市,北京市,延庆区,116.0165126,40.54100837
华庆医院,医疗保健服务,综合医院,综合医院,旧小路与八峪路交叉口西,北京市,北京市,延庆区,116.0793827,40.54832354
旧县镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,旧小路与八峪路交叉口西,北京市,北京市,延庆区,116.0796817,40.54821543
柏鹤堂药店,医疗保健服务,医药保健销售店,药房,旧县村前街1号,北京市,北京市,延庆区,116.084556,40.54934466
刘凤鸣诊所,医疗保健服务,诊所,诊所,旧县村前街3附近,北京市,北京市,延庆区,116.0845229,40.54992636
周四沟社区卫生站,医疗保健服务,诊所,诊所,刘斌堡乡延琉路周四沟村村委会,北京市,北京市,延庆区,116.2949724,40.54989089
四海镇黑汉岭社区卫生服务站,医疗保健服务,综合医院,卫生院,延琉路东50米,北京市,北京市,延庆区,116.3513819,40.55042088
石城镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,密关路西50米,北京市,北京市,密云区,116.8150214,40.54622713
小娟卫生室,医疗保健服务,医疗保健服务场所,医疗保健服务场所,太上路与太城路交叉口西100米,北京市,北京市,密云区,117.102442,40.54184153
古城村华庆医院社区服务站,医疗保健服务,综合医院,卫生院,东内大街与古城大街交叉口西北50米,北京市,北京市,延庆区,116.0165595,40.5408823
石城镇社区卫生服务中心(密云区水务局石城水务站东北),医疗保健服务,综合医院,卫生院,石城镇南石城村,北京市,北京市,密云区,116.8150313,40.53932581
石城村卫生室,医疗保健服务,诊所,诊所,密关路附近,北京市,北京市,密云区,116.8125385,40.5401168
永安大药房,医疗保健服务,医药保健销售店,药房,太师屯村,北京市,北京市,密云区,117.1166669,40.53865152
北京世慧中西医诊所,医疗保健服务,诊所,诊所,太师屯镇太师屯村永安街,北京市,北京市,密云区,117.1156862,40.5385896
密云区第二医院,医疗保健服务,综合医院,综合医院,太师屯镇永安街76号,北京市,北京市,密云区,117.1246486,40.53447262
太师屯辰佳口腔诊所,医疗保健服务,专科医院,口腔医院,近郊永安街106号,北京市,北京市,密云区,117.1230229,40.53500836
佟大夫口腔诊所,医疗保健服务,专科医院,口腔医院,葡萄园街与002县道交叉口北50米,北京市,北京市,密云区,117.123113,40.53451073
密云区太师屯镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,太师屯镇永安街76号,北京市,北京市,密云区,117.1246496,40.53447162
葡萄园村卫生室(永安街),医疗保健服务,诊所,诊所,永安街3号,北京市,北京市,密云区,117.1261853,40.53455552
葡萄园正阳卫生室,医疗保健服务,诊所,诊所,太师屯镇正阳街,北京市,北京市,密云区,117.1240538,40.53583318
国珍健康生活馆,医疗保健服务,医疗保健服务场所,医疗保健服务场所,永安街55号附近,北京市,北京市,密云区,117.1244744,40.53489219
葡萄园村正阳村卫生室,医疗保健服务,诊所,诊所,正阳街与沙太路交叉口西南100米,北京市,北京市,密云区,117.1240548,40.53583318
明辉口腔,医疗保健服务,诊所,诊所,正阳街15-9,北京市,北京市,密云区,117.1252179,40.53658123
慧源堂诊所,医疗保健服务,诊所,诊所,太师屯镇永安街133号,北京市,北京市,密云区,117.1224122,40.5354704
健洁口腔,医疗保健服务,诊所,诊所,正阳街63号,北京市,北京市,密云区,117.1230009,40.5344966
医疗器械,医疗保健服务,医药保健销售店,医疗保健用品,永安街88号附近,北京市,北京市,密云区,117.1242392,40.53455707
太师屯扶生药店,医疗保健服务,医药保健销售店,药房,正阳街与永安街交叉口西100米,北京市,北京市,密云区,117.1225854,40.53504382
永福安堂大药房,医疗保健服务,医药保健销售店,药房,太师屯镇永安街第11号,北京市,北京市,密云区,117.1269362,40.53433661
国珍松花粉,医疗保健服务,医药保健销售店,医疗保健用品,中心街30号附近,北京市,北京市,密云区,117.1209905,40.53818634
万寿堂大药房,医疗保健服务,医药保健销售店,药房,葡萄园村,北京市,北京市,密云区,117.1192151,40.53681211
山里辛庄村卫生室,医疗保健服务,诊所,诊所,中心街105号,北京市,北京市,密云区,117.1205739,40.53942422
紫善堂大药房,医疗保健服务,医药保健销售店,药房,太师屯镇永安街11号,北京市,北京市,密云区,117.1275479,40.53420048
延庆县精神卫生保健院,医疗保健服务,专科医院,专科医院,张山营镇精神卫生保健院,北京市,北京市,延庆区,115.8665149,40.52423995
旧县镇大柏老社区卫生服务站,医疗保健服务,综合医院,卫生院,下大路与八峪路交叉口西50米,北京市,北京市,延庆区,116.0680247,40.52386966
北京玉展堂大药房,医疗保健服务,医药保健销售店,药房,下大路与八峪路交叉口东100米,北京市,北京市,延庆区,116.0691337,40.52418333
百信仁康大药房,医疗保健服务,医药保健销售店,药房,延琉路与滨河北路交叉口西南100米,北京市,北京市,延庆区,116.1518707,40.52641116
永宁镇太平街村卫生室,医疗保健服务,诊所,诊所,永宁镇太平街延琉路缙阳小区,北京市,北京市,延庆区,116.1553352,40.52740993
永宁镇北街社区卫生服务站,医疗保健服务,综合医院,卫生院,永宁镇拱辰街11号,北京市,北京市,延庆区,116.1586868,40.52673943
毓和堂,医疗保健服务,医药保健销售店,药房,姚官巷与拱辰街交叉口西南50米,北京市,北京市,延庆区,116.158773,40.52664564
北京百利仁和堂药店,医疗保健服务,医药保健销售店,药房,永宁镇北关村昌赤路附近,北京市,北京市,延庆区,116.1587427,40.52861458
仁康金象大药房(缙阳小区东南),医疗保健服务,医药保健销售店,药房,拱辰街4号,北京市,北京市,延庆区,116.1585153,40.52704096
金象大药房(永宁阜民店),医疗保健服务,医药保健销售店,药房,永宁镇拱辰街77号,北京市,北京市,延庆区,116.1640955,40.52439569
延庆区永宁镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,永宁镇永宁东街,北京市,北京市,延庆区,116.1620526,40.52465675
北京延民康大药房(仓子巷),医疗保健服务,医药保健销售店,药房,延琉路与昌赤路交汇处南100米,北京市,北京市,延庆区,116.1620961,40.52962229
北京明和堂第二诊所,医疗保健服务,诊所,诊所,永宁镇拱辰街84号,北京市,北京市,延庆区,116.1599186,40.52411705
北京教区天宁诊所,医疗保健服务,诊所,诊所,南街与黄甲巷交叉口东北50米,北京市,北京市,延庆区,116.1607723,40.52204169
北京久江医药,医疗保健服务,医药保健销售店,药房,永宁镇拱辰街65号(豆香轩饭店对面),北京市,北京市,延庆区,116.1594803,40.52460299
高桂伶牙科,医疗保健服务,诊所,诊所,南街与黄甲巷交叉口西北150米,北京市,北京市,延庆区,116.1600612,40.52269804
四海镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,四海镇四海村,北京市,北京市,延庆区,116.4037246,40.5238659
王庄村卫生室,医疗保健服务,诊所,诊所,密关路西100米,北京市,北京市,密云区,116.8107176,40.52824165
流河沟村康复训练中心,医疗保健服务,医疗保健服务场所,医疗保健服务场所,太师屯,北京市,北京市,密云区,117.1002525,40.52467058
张山营镇勒家堡社区卫生服务站,医疗保健服务,综合医院,卫生院,018县道西100米,北京市,北京市,延庆区,115.9334569,40.51550835
北京仁聚堂药店,医疗保健服务,医药保健销售店,药房,张山营镇靳家堡村2区4号,北京市,北京市,延庆区,115.9381721,40.51797679
明和堂药店第二十七分店,医疗保健服务,医药保健销售店,药房,张家营镇晏家堡村173号南房,北京市,北京市,延庆区,115.9414295,40.51865719
芙蓉越康药店,医疗保健服务,医药保健销售店,药房,京银路与旧小路交叉口西南150米,北京市,北京市,延庆区,115.9526422,40.51934736
东龙湾村卫生室,医疗保健服务,诊所,诊所,中街二巷与中街六巷交叉口南50米,北京市,北京市,延庆区,116.0937905,40.51294627
新华营村卫生室,医疗保健服务,诊所,诊所,延琉路中共延庆区永宁镇新华营村党支部附近,北京市,北京市,延庆区,116.1249221,40.5190688
怀柔区雁栖镇大地村卫生室,医疗保健服务,诊所,诊所,范崎路北50米,北京市,北京市,怀柔区,116.5706564,40.51199421
利君堂大药房(吴坊营分店),医疗保健服务,医药保健销售店,药房,延琉路西50米,北京市,北京市,延庆区,116.1046642,40.51039784
四海镇永安堡社区卫生服务站,医疗保健服务,综合医院,卫生院,延琉路北50米,北京市,北京市,延庆区,116.4410581,40.50269038
怀柔区怀北镇椴树岭村卫生室,医疗保健服务,诊所,诊所,京加路西50米,北京市,北京市,怀柔区,116.660308,40.51038195
北庄村卫生室,医疗保健服务,诊所,诊所,沙太路66号附近,北京市,北京市,密云区,117.168245,40.50842169
锦艺美好口腔诊所,医疗保健服务,诊所,诊所,沙太路北50米,北京市,北京市,密云区,117.1675255,40.50902305
密云区北庄镇卫生院,医疗保健服务,综合医院,卫生院,东安街2号附近,北京市,北京市,密云区,117.1720694,40.50758122
密云区北庄镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,沙太路附近,北京市,北京市,密云区,117.1717979,40.50764068
永财村卫生室,医疗保健服务,诊所,诊所,沙太路33号附近,北京市,北京市,密云区,117.1691006,40.50817541
张山营镇上板泉社区卫生服务站,医疗保健服务,综合医院,卫生院,上板泉中区96号楼(110国道旧),北京市,北京市,延庆区,115.884128,40.49716056
明和堂药店(十七店),医疗保健服务,医药保健销售店,药房,京银路东100米,北京市,北京市,延庆区,115.981606,40.49309996
靖祺堂大药房,医疗保健服务,医药保健销售店,药房,京银路东50米,北京市,北京市,延庆区,115.9811814,40.49312322
香村营社区卫生站,医疗保健服务,诊所,诊所,延琉路,北京市,北京市,延庆区,116.0843871,40.49526706
颜美本整形医院,医疗保健服务,专科医院,整形美容,018县道西50米,北京市,北京市,延庆区,115.9480556,40.48818893
延民康大药房,医疗保健服务,医药保健销售店,药房,北靳路与014县道交叉口东北50米,北京市,北京市,延庆区,115.9537607,40.48466035
井庄镇王木营社区卫生站,医疗保健服务,诊所,诊所,永西公路与王木营中街交叉口东北50米,北京市,北京市,延庆区,116.1061433,40.48534157
白道峪村卫生室,医疗保健服务,诊所,诊所,河白路北200米,北京市,北京市,密云区,116.7604417,40.48147575
延庆县精神卫生保健院,医疗保健服务,专科医院,精神病医院,张山营镇京银路,北京市,北京市,延庆区,115.8506417,40.47771078
北京回龙观协作医院,医疗保健服务,综合医院,综合医院,京银路北50米,北京市,北京市,延庆区,115.8506417,40.47771178
明和堂药店(张山营镇民政服务中心东),医疗保健服务,医药保健销售店,药房,京银路东50米,北京市,北京市,延庆区,115.8575684,40.47857857
延庆区张山营镇社区卫生服务中心,医疗保健服务,综合医院,卫生院,京银路北50米,北京市,北京市,延庆区,115.850401,40.4781582
延庆区精神卫生保健院,医疗保健服务,专科医院,精神病医院,京银路北50米,北京市,北京市,延庆区,115.8505214,40.47770559
中洋大药房(小河屯分店),医疗保健服务,医药保健销售店,药房,城关镇小河屯村南,北京市,北京市,延庆区,115.9367706,40.47968259
宠安动物医院,医疗保健服务,动物医疗场所,宠物诊所,庆园街新兴小区51号楼底商,北京市,北京市,延庆区,115.9813586,40.47134362
北京康生动物医院,医疗保健服务,动物医疗场所,宠物诊所,延庆火车站小区,北京市,北京市,延庆区,115.9921772,40.47256332
延庆区动物疫病预防控制中心,医疗保健服务,疾病预防机构,疾病预防,延琉路与河广路交叉口西北100米,北京市,北京市,延庆区,116.0038922,40.47512356
中草药健康护肤养生会馆,医疗保健服务,医药保健销售店,医疗保健用品,延琉路北50米,北京市,北京市,延庆区,116.0174778,40.47730682
北京恒康仁德大药房八里店分公司,医疗保健服务,医药保健销售店,药房,延琉路北50米,北京市,北京市,延庆区,116.0166784,40.47716914
沈家营镇八里店社区卫生服务站,医疗保健服务,综合医院,卫生院,延琉路北150米,北京市,北京市,延庆区,116.018002,40.47840185
延庆区残联永华职业康复指导中心,医疗保健服务,医疗保健服务场所,医疗保健服务场所,,北京市,北京市,延庆区,116.0277527,40.47637242
沈家营镇卫生院,医疗保健服务,综合医院,卫生院,沈家营镇政府西,北京市,北京市,延庆区,116.0366681,40.47973004
沈家营镇社区卫生中心,医疗保健服务,综合医院,卫生院,沈家营镇政府西,北京市,北京市,延庆区,116.0366521,40.48006193
明和堂药店第一分店,医疗保健服务,医药保健销售店,药房,沈家营镇政府院东南角,北京市,北京市,延庆区,116.039978,40.47978753
永宁镇西灰岭社区卫生站,医疗保健服务,诊所,诊所,永四路东50米,北京市,北京市,延庆区,116.1608314,40.47650151
怀柔区雁栖镇八道河村卫生室,医疗保健服务,诊所,诊所,八西路与范崎路交叉口西北50米,北京市,北京市,怀柔区,116.5715843,40.48043799
北白岩村卫生室,医疗保健服务,诊所,诊所,北白岩村,北京市,北京市,密云区,116.8057318,40.4786836
亚玲卫生室,医疗保健服务,诊所,诊所,北白岩正街209号附近,北京市,北京市,密云区,116.8052608,40.48013711
北京金利益康大药房,医疗保健服务,医药保健销售店,药房,溪翁庄镇北白岩正街215号,北京市,北京市,密云区,116.8050976,40.47955509
